source_month,source_row,source_block,record_type,date,account,payment_type,ref_no,category,details,currency,direction,amount,out_currency,out_amount,in_currency,in_amount,fx_rate,egp_eqv,usd_eqv,is_petty,issues
JAN,50,main_ledger,transaction,2026-01-01,NBK,BANK-FEES,,Bank Fees,,EGP,out,300.0,,,,,47.25,0.0,6.349206349206349,False,
JAN,51,main_ledger,transaction,2026-01-04,ARAB_BANK,BANK-FEES,,Bank Fees,,EGP,out,450.0,,,,,47.25,0.0,9.523809523809524,False,
JAN,52,main_ledger,transaction,2026-01-04,CASH,CASH,1,Electricity,,EGP,out,212.0,,,,,47.25,0.0,4.4867724867724865,False,
JAN,53,main_ledger,transaction,2026-01-06,ARAB_BANK,OUTBOUND_TRANS,2,Internet,Payment of WE Data Invoice E-2211023,EGP,out,34877.0,,,,,47.25,0.0,738.1375661375662,False,
JAN,54,main_ledger,transaction,2026-01-06,ARAB_BANK,BANK-FEES,,Bank Fees,,EGP,out,10.0,,,,,47.25,0.0,0.21164021164021163,False,
JAN,55,main_ledger,transaction,2026-01-07,CASH,CASH,3,Kitchen Supplies,Coffee ,EGP,out,535.0,,,,,47.25,0.0,11.322751322751323,False,
JAN,56,main_ledger,transaction,2026-01-08,CASH,CASH,4,Social Insurance,,EGP,out,31841.0,,,,,47.25,0.0,673.8835978835979,False,
JAN,57,main_ledger,transaction,2026-01-12,CASH,CASH,5,Kitchen Supplies,,EGP,out,3250.0,,,,,47.25,0.0,68.78306878306879,False,
JAN,58,main_ledger,transaction,2026-01-14,CASH,CASH,6,Kitchen Supplies,carrefour,EGP,out,4657.0,,,,,47.25,0.0,98.56084656084656,False,
JAN,59,main_ledger,transaction,2026-01-14,CASH,CASH,7,Medical Insurance,Abdelmohsen,EGP,out,2700.0,,,,,47.25,0.0,57.142857142857146,False,
JAN,60,main_ledger,fx_conversion,2026-01-15,CASH,USDTOEGP,,,,,,,USD,1800.0,EGP,85014.0,47.23,85014.0,0.0,False,
JAN,61,main_ledger,transaction,2026-01-15,CASH,CASH,,Taxes,,EGP,out,76128.0,,,,,47.23,0.0,1611.8568706330723,False,
JAN,62,main_ledger,transaction,2026-01-15,CASH,CASH,8,Kitchen Supplies,Spinneys,EGP,out,556.0,,,,,47.23,0.0,11.772178699978827,False,
JAN,63,main_ledger,fx_conversion,2026-01-19,CASH,USDTOEGP,,,,,,,USD,1000.0,EGP,47330.0,47.33,47330.0,0.0,False,
JAN,64,main_ledger,transaction,2026-01-19,CASH,CASH,9,Robot,Gomroky,EGP,out,63500.0,,,,,47.33,0.0,1341.643777730826,False,
